Ranking,Country,Matches,Rating
1,India,66,267
2,England,49,266
3,Pakistan,55,258
4,South Africa,41,256
5,New Zealand,50,252
6,Australia,47,251
7,West Indies,51,236
8,Sri Lanka,53,236
9,Bangladesh,51,222
10,Afghanistan,30,217
11,Zimbabwe,49,196
16,Nepal,30,180
